,Eps,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity
0,0.0,1.0,5.157,0.986,0.267,30.0,0.56
1,0.00404040404040404,1.0,5.167,0.986,0.266,29.664,0.555
2,0.00808080808080808,1.0,5.176,0.986,0.266,29.315,0.559
3,0.012121212121212121,1.0,5.105,0.986,0.263,28.762,0.55
4,0.01616161616161616,1.0,5.123,0.986,0.266,28.238,0.56
5,0.0202020202020202,1.0,5.146,0.986,0.27,27.818,0.562
6,0.024242424242424242,1.0,5.115,0.986,0.266,27.476,0.557
7,0.028282828282828285,1.0,5.138,0.986,0.269,27.091,0.563
8,0.03232323232323232,1.0,5.086,0.986,0.265,26.734,0.558
9,0.03636363636363636,1.0,5.067,0.986,0.265,26.35,0.563
10,0.0404040404040404,1.0,5.068,0.986,0.27,26.007,0.563
11,0.044444444444444446,1.0,5.045,0.986,0.269,25.594,0.565
12,0.048484848484848485,1.0,5.061,0.986,0.268,25.21,0.57
13,0.052525252525252523,1.0,5.039,0.986,0.274,24.79,0.574
14,0.05656565656565657,1.0,5.025,0.986,0.276,24.35,0.578
15,0.06060606060606061,1.0,4.941,0.986,0.278,23.797,0.576
16,0.06464646464646465,1.0,4.889,0.986,0.279,23.245,0.584
17,0.06868686868686869,1.0,4.932,0.986,0.285,23.007,0.596
18,0.07272727272727272,1.0,4.898,0.986,0.287,22.608,0.596
19,0.07676767676767676,1.0,4.827,0.985,0.293,21.986,0.598
20,0.0808080808080808,1.0,4.844,0.984,0.296,21.664,0.606
21,0.08484848484848485,1.0,4.762,0.985,0.297,21.105,0.61
22,0.08888888888888889,1.0,4.73,0.983,0.306,20.65,0.616
23,0.09292929292929293,1.0,4.684,0.984,0.307,20.196,0.621
24,0.09696969696969697,1.0,4.635,0.983,0.313,19.776,0.626
25,0.10101010101010101,1.0,4.595,0.983,0.317,19.308,0.629
26,0.10505050505050505,0.993,4.513,0.973,0.32,18.727,0.63
27,0.10909090909090909,0.993,4.506,0.97,0.329,18.497,0.634
28,0.11313131313131314,0.986,4.457,0.959,0.33,17.944,0.641
29,0.11717171717171718,0.993,4.404,0.969,0.338,17.615,0.646
