,Eps,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity
0,0.0,1.0,5.622,0.659,0.203,24.01,1.252
1,0.00404040404040404,1.0,5.626,0.66,0.201,23.154,1.255
2,0.00808080808080808,1.0,5.605,0.659,0.206,22.522,1.251
3,0.012121212121212121,1.0,5.624,0.659,0.201,21.933,1.25
4,0.01616161616161616,1.0,5.637,0.659,0.206,21.232,1.244
5,0.0202020202020202,1.0,5.602,0.657,0.197,20.422,1.255
6,0.024242424242424242,1.0,5.608,0.657,0.199,19.691,1.26
7,0.028282828282828285,1.0,5.568,0.654,0.197,18.976,1.258
8,0.03232323232323232,1.0,5.549,0.653,0.201,18.279,1.261
9,0.03636363636363636,1.0,5.503,0.651,0.201,17.724,1.245
10,0.0404040404040404,1.0,5.506,0.649,0.2,17.197,1.259
11,0.044444444444444446,1.0,5.489,0.647,0.204,16.591,1.264
12,0.048484848484848485,1.0,5.465,0.645,0.198,16.068,1.28
13,0.052525252525252523,0.999,5.454,0.642,0.207,15.668,1.265
14,0.05656565656565657,1.0,5.393,0.639,0.208,15.178,1.27
15,0.06060606060606061,0.999,5.386,0.636,0.203,14.809,1.256
16,0.06464646464646465,0.999,5.36,0.634,0.205,14.499,1.264
17,0.06868686868686869,0.999,5.362,0.63,0.208,14.254,1.27
18,0.07272727272727272,1.0,5.323,0.631,0.207,13.888,1.285
19,0.07676767676767676,1.0,5.295,0.626,0.207,13.568,1.277
20,0.0808080808080808,1.0,5.269,0.625,0.212,13.291,1.287
21,0.08484848484848485,1.0,5.245,0.622,0.213,13.021,1.297
22,0.08888888888888889,1.0,5.245,0.62,0.208,12.832,1.299
23,0.09292929292929293,1.0,5.175,0.616,0.213,12.538,1.3
24,0.09696969696969697,0.999,5.192,0.614,0.209,12.384,1.303
25,0.10101010101010101,1.0,5.144,0.61,0.218,12.148,1.286
26,0.10505050505050505,1.0,5.147,0.609,0.208,11.951,1.308
27,0.10909090909090909,0.999,5.121,0.604,0.213,11.741,1.298
28,0.11313131313131314,0.998,5.126,0.599,0.219,11.522,1.32
29,0.11717171717171718,0.999,5.088,0.596,0.215,11.229,1.314
30,0.12121212121212122,0.999,5.064,0.594,0.222,11.01,1.326
31,0.12525252525252525,0.998,5.019,0.589,0.221,10.777,1.308
32,0.1292929292929293,0.998,5.034,0.584,0.226,10.636,1.323
33,0.13333333333333333,0.994,4.981,0.579,0.225,10.406,1.322
34,0.13737373737373737,0.998,4.925,0.573,0.232,10.154,1.329
35,0.1414141414141414,0.992,4.887,0.567,0.223,9.899,1.323
36,0.14545454545454545,0.992,4.879,0.561,0.232,9.674,1.332
37,0.1494949494949495,0.991,4.793,0.552,0.229,9.306,1.343
38,0.15353535353535352,0.988,4.791,0.547,0.232,9.101,1.33
39,0.15757575757575756,0.987,4.763,0.54,0.244,8.888,1.346
40,0.1616161616161616,0.98,4.701,0.528,0.242,8.659,1.319
41,0.16565656565656567,0.977,4.694,0.522,0.234,8.525,1.353
42,0.1696969696969697,0.973,4.683,0.516,0.241,8.4,1.339
43,0.17373737373737375,0.967,4.648,0.505,0.237,8.239,1.355
44,0.17777777777777778,0.962,4.669,0.496,0.249,8.157,1.355
45,0.18181818181818182,0.948,4.599,0.485,0.247,7.975,1.354
46,0.18585858585858586,0.941,4.549,0.474,0.24,7.817,1.353
47,0.1898989898989899,0.933,4.567,0.465,0.246,7.734,1.348
48,0.19393939393939394,0.929,4.551,0.458,0.242,7.613,1.358
49,0.19797979797979798,0.922,4.479,0.448,0.248,7.455,1.356
50,0.20202020202020202,0.911,4.494,0.441,0.246,7.389,1.356
51,0.20606060606060606,0.895,4.476,0.425,0.25,7.289,1.354
52,0.2101010101010101,0.878,4.43,0.412,0.257,7.164,1.353
53,0.21414141414141413,0.871,4.404,0.406,0.256,7.068,1.343
54,0.21818181818181817,0.859,4.394,0.395,0.254,6.978,1.357
55,0.2222222222222222,0.85,4.388,0.383,0.26,6.9,1.374
56,0.22626262626262628,0.831,4.366,0.372,0.261,6.817,1.37
57,0.23030303030303031,0.82,4.341,0.362,0.256,6.713,1.365
58,0.23434343434343435,0.81,4.354,0.352,0.257,6.668,1.375
59,0.2383838383838384,0.784,4.317,0.331,0.262,6.566,1.373
60,0.24242424242424243,0.775,4.301,0.322,0.267,6.486,1.387
61,0.24646464646464647,0.759,4.278,0.31,0.26,6.4,1.363
62,0.2505050505050505,0.733,4.245,0.292,0.268,6.311,1.369
63,0.2545454545454545,0.724,4.24,0.287,0.269,6.246,1.362
64,0.2585858585858586,0.719,4.248,0.279,0.269,6.189,1.378
65,0.26262626262626265,0.696,4.182,0.267,0.268,6.058,1.373
66,0.26666666666666666,0.673,4.191,0.252,0.272,5.999,1.383
67,0.27070707070707073,0.66,4.154,0.241,0.281,5.899,1.389
68,0.27474747474747474,0.646,4.108,0.236,0.276,5.801,1.388
69,0.2787878787878788,0.614,4.047,0.21,0.283,5.676,1.39
70,0.2828282828282828,0.609,4.075,0.205,0.288,5.645,1.395
71,0.2868686868686869,0.585,4.029,0.188,0.294,5.533,1.396
72,0.2909090909090909,0.565,4.025,0.177,0.3,5.452,1.408
73,0.29494949494949496,0.545,3.974,0.162,0.305,5.319,1.4
74,0.298989898989899,0.514,3.937,0.145,0.311,5.184,1.419
75,0.30303030303030304,0.504,3.879,0.142,0.313,5.036,1.418
76,0.30707070707070705,0.488,3.83,0.13,0.313,4.911,1.413
77,0.3111111111111111,0.478,3.841,0.122,0.314,4.857,1.426
78,0.3151515151515151,0.452,3.796,0.109,0.32,4.762,1.409
79,0.3191919191919192,0.435,3.78,0.1,0.317,4.699,1.413
80,0.3232323232323232,0.434,3.782,0.095,0.329,4.641,1.448
81,0.32727272727272727,0.42,3.757,0.092,0.334,4.581,1.429
82,0.33131313131313134,0.407,3.719,0.086,0.339,4.483,1.441
83,0.33535353535353535,0.408,3.697,0.084,0.333,4.432,1.437
84,0.3393939393939394,0.398,3.651,0.081,0.333,4.358,1.439
85,0.3434343434343434,0.397,3.666,0.082,0.344,4.353,1.441
86,0.3474747474747475,0.395,3.672,0.078,0.336,4.335,1.46
87,0.3515151515151515,0.38,3.629,0.076,0.336,4.261,1.432
88,0.35555555555555557,0.376,3.612,0.075,0.328,4.203,1.441
89,0.3595959595959596,0.367,3.574,0.072,0.34,4.114,1.451
90,0.36363636363636365,0.361,3.55,0.07,0.33,4.048,1.463
91,0.36767676767676766,0.356,3.549,0.069,0.333,4.012,1.448
92,0.3717171717171717,0.355,3.578,0.068,0.332,4.02,1.471
93,0.37575757575757573,0.351,3.535,0.066,0.331,3.95,1.466
94,0.3797979797979798,0.349,3.529,0.066,0.327,3.919,1.47
95,0.3838383838383838,0.341,3.508,0.063,0.345,3.88,1.477
96,0.3878787878787879,0.341,3.463,0.065,0.331,3.81,1.458
97,0.39191919191919194,0.331,3.468,0.056,0.344,3.798,1.477
98,0.39595959595959596,0.339,3.47,0.061,0.342,3.792,1.474
99,0.4,0.33,3.463,0.056,0.339,3.774,1.472
