,Eps,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity
0,0.0,1.0,11.564,0.951,0.371,33.104,3.185
1,0.00404040404040404,1.0,11.588,0.951,0.373,25.445,3.192
2,0.00808080808080808,1.0,11.476,0.951,0.372,23.416,3.19
3,0.012121212121212121,0.999,11.491,0.95,0.372,21.546,3.191
4,0.01616161616161616,1.0,11.466,0.951,0.373,20.281,3.19
5,0.0202020202020202,0.999,11.501,0.95,0.373,19.431,3.194
6,0.024242424242424242,0.999,11.457,0.948,0.372,18.565,3.198
7,0.028282828282828285,0.998,11.416,0.944,0.372,17.546,3.188
8,0.03232323232323232,0.998,11.421,0.941,0.373,16.762,3.195
9,0.03636363636363636,0.998,11.436,0.941,0.374,16.156,3.196
10,0.0404040404040404,0.998,11.369,0.94,0.372,15.296,3.188
11,0.044444444444444446,0.998,11.34,0.94,0.37,14.795,3.191
12,0.048484848484848485,0.997,11.342,0.939,0.372,14.453,3.187
13,0.052525252525252523,0.997,11.352,0.938,0.373,14.167,3.193
14,0.05656565656565657,0.996,11.268,0.936,0.369,13.807,3.191
15,0.06060606060606061,0.996,11.309,0.936,0.371,13.621,3.192
16,0.06464646464646465,0.994,11.303,0.931,0.375,13.426,3.192
17,0.06868686868686869,0.991,11.338,0.925,0.375,13.269,3.198
18,0.07272727272727272,0.991,11.218,0.922,0.373,12.987,3.191
19,0.07676767676767676,0.99,11.257,0.92,0.372,12.911,3.193
20,0.0808080808080808,0.99,11.225,0.92,0.374,12.817,3.188
21,0.08484848484848485,0.989,11.208,0.92,0.375,12.761,3.195
22,0.08888888888888889,0.989,11.227,0.919,0.374,12.744,3.195
23,0.09292929292929293,0.988,11.196,0.916,0.374,12.676,3.192
24,0.09696969696969697,0.986,11.219,0.914,0.369,12.668,3.186
25,0.10101010101010101,0.987,11.201,0.914,0.372,12.62,3.195
26,0.10505050505050505,0.986,11.234,0.913,0.374,12.626,3.194
